url,Property ID,Price,State of the property,Availability,Number of bedrooms,Livable surface,Furnished,Attic,Garage,Number of garages,Kitchen equipment,Kitchen type,Number of bathrooms,Number of showers,Number of toilets,Type of heating,Type of glazing,Elevator,Number of facades,Garden,Surface garden,Terrace,Surface terrace,Total land surface,Swimming pool
https://immovlan.be/en/detail/residence/for-sale/8470/gistel/rbu64838,rbu64838,259 000 €,,On contract,4,,,Yes,Yes,1,,,1,,2,Gas,,No,2,Yes,,Yes,,200 m²,
https://immovlan.be/en/detail/residence/for-sale/1320/nodebais/vbd39459,vbd39459,238 500 €,To be renovated,On contract,3,258 m²,No,Yes,Yes,1,,,,,1,Fuel oil,,No,4,Yes,,No,,680 m²,
https://immovlan.be/en/detail/mixed-building/for-sale/6240/farciennes/vbd44803,vbd44803,169 000 €,To be renovated,,3,315 m²,,Yes,,,,,2,,,,,,2,Yes,600 m²,,,,
https://immovlan.be/en/detail/residence/for-sale/9800/deinze/rbu44623,rbu44623,526 200 €,,,3,193 m²,,Yes,Yes,,,,1,,2,,,,,Yes,117 m²,Yes,12 m²,,
https://immovlan.be/en/detail/apartment/for-sale/7500/tournai/vbd35950,vbd35950,195 000 €,Normal,On contract,1,86 m²,No,,Yes,2,,,1,,1,Gas,,Yes,,No,,No,,,
https://immovlan.be/en/detail/apartment/for-sale/3080/tervuren/rbt99663,rbt99663,349 000 €,,,2,75 m²,,,Yes,1,,,1,,,Gas,Double glass,,3,No,,Yes,20 m²,,
https://immovlan.be/en/detail/apartment/for-sale/3740/beverst/rbt20148,rbt20148,,New,,2,119 m²,No,,Yes,,,,1,,1,Not specified,,Yes,,No,,Yes,23 m²,,
https://immovlan.be/en/detail/residence/for-sale/4300/waremme/vbc03301,vbc03301,325 007 €,New,,3,165 m²,,Yes,,,,,1,,2,,,,3,Yes,299 m²,Yes,,,
https://immovlan.be/en/detail/investment-property/for-sale/3800/sint-truiden/rbu59289,rbu59289,229 000 €,Excellent,,2,,,,,,,,1,,1,Gas,Double glass,Yes,,,,,,,
https://immovlan.be/en/detail/development-site/for-sale/3150/tildonk/rbu56167,rbu56167,195 000 €,,,,,,,,,,,,,,,,,,,,,,619 m²,
https://immovlan.be/en/detail/apartment/for-sale/9890/gavere/rbu55801,rbu55801,,New,,,,,,Yes,,,,,,,,,,4,,,,,,
https://immovlan.be/en/detail/apartment/for-sale/4101/jemeppe/vbd36372,vbd36372,276 000 €,New,,3,116 m²,No,,,,Fully equipped,Western kitchen,1,1,1,,Double glass,Yes,2,No,,Yes,12 m²,,No
https://immovlan.be/en/detail/bungalow/for-sale/5540/hastiere/vwd14188,vwd14188,45 200 €,Normal,On contract,1,50 m²,,No,,,Fully equipped,,,,,Not specified,,,,Yes,,Yes,20 m²,250 m²,
https://immovlan.be/en/detail/mixed-building/for-sale/2220/heist-op-den-berg/rbu62285,rbu62285,425 000 €,To renovate,Immediately,4,317 m²,,Yes,Yes,,Fully equipped,Western kitchen,1,,,,Double glass,,4,Yes,,Yes,,4111 m²,
https://immovlan.be/en/detail/apartment/for-sale/5000/namur/vbd20619,vbd20619,246 000 €,New,From 18/06/2026,1,59 m²,No,,,,,,1,,1,,,Yes,4,No,,Yes,27 m²,,
https://immovlan.be/en/detail/investment-property/for-sale/4577/modave/vbd12936,vbd12936,229 000 €,To be renovated,On contract,7,,,Yes,,,,,4,4,4,Fuel oil,Double glass,No,2,Yes,,Yes,,695 m²,Yes
https://immovlan.be/en/detail/apartment/for-sale/3020/herent/rbu62130,rbu62130,458 222 €,New,On contract,2,102 m²,No,,Yes,,,,1,,,Not specified,,Yes,4,Yes,,Yes,20 m²,,
